epoch,time,lr,loss,acc,val_loss,val_acc
1,111.82626141699984,0.001,0.7473565057506255,68.86838271005342,0.3758931533660296,86.39896373056995
2,108.10962745899997,0.001,0.36798247867211836,87.0649182451028,0.18253116640672473,93.9119170984456
3,108.21283841700097,0.001,0.22500654281642765,92.1321029626032,0.18356258696225022,93.13471502590673
4,107.43641591699998,0.001,0.1819998728181043,93.73482272948033,0.1506414013707267,94.43005181347151
5,108.3077728749995,0.001,0.14351825980822092,95.06232799093411,0.09444455037115461,97.15025906735751
6,108.55692270799955,0.001,0.10887473632993291,96.11461874696455,0.12069864648785153,95.72538860103627
7,108.25749233299939,0.001,0.09450037184706471,97.00501861745184,0.07274875658627002,97.66839378238342
8,109.14802391699959,0.001,0.07922207195385965,97.28023312287519,0.07403423839702314,97.40932642487047
9,108.75649541700113,0.001,0.07588810631810837,97.21547676865792,0.08177167314244675,97.27979274611398
10,108.27756483300072,0.001,0.04870495994578186,98.44584749878582,0.18300720068766047,94.94818652849742
11,108.43425741700048,0.001,0.04840547360041988,98.47822567589445,0.08445756712511009,97.66839378238342
12,109.04708045799998,0.001,0.0513076740607284,98.21920025902541,0.09361942753272971,96.89119170984456
