accuracy,f1_score,sensitivity,specificity,loss
100.0,1.0,1.0,1.0,3.6737879401512815e-06
100.0,1.0,1.0,1.0,1.0011283079043918e-06
100.0,1.0,1.0,1.0,1.8763543455298039e-06
100.0,1.0,1.0,1.0,1.3332963084317881e-05
100.0,1.0,1.0,1.0,1.324002498855991e-05
100.0,1.0,1.0,1.0,1.187247544284769e-06
100.0,1.0,1.0,1.0,1.2578179884233269e-05
100.0,1.0,1.0,1.0,1.2232318641962882e-05
100.0,1.0,1.0,1.0,1.1911129499970738e-05
100.0,1.0,1.0,1.0,2.4472705346848527e-05
100.0,1.0,1.0,1.0,2.2455125288182343e-06
100.0,1.0,1.0,1.0,8.975354837763355e-07
100.0,1.0,1.0,1.0,2.425139143544443e-05
100.0,1.0,1.0,1.0,1.104225408317195e-06
100.0,1.0,1.0,1.0,1.2528366173138228e-05
100.0,1.0,1.0,1.0,1.18875852736692e-05
100.0,1.0,1.0,1.0,3.53564357226399e-05
100.0,1.0,1.0,1.0,4.7006351245496356e-05
100.0,1.0,1.0,1.0,1.7554147618082012e-06
100.0,1.0,1.0,1.0,1.3356507667120111e-05
100.0,1.0,1.0,1.0,2.5082504261269857e-05
100.0,1.0,1.0,1.0,1.1458611907915071e-06
100.0,1.0,1.0,1.0,1.1908157499958972e-05
100.0,1.0,1.0,1.0,2.492488349358688e-05
100.0,1.0,1.0,1.0,7.594916660394625e-07
100.0,1.0,1.0,1.0,1.3606116738528555e-07
100.0,1.0,1.0,1.0,1.2529239589079784e-06
100.0,1.0,1.0,1.0,2.3359701134066716e-06
100.0,1.0,1.0,1.0,8.228115335573784e-08
100.0,1.0,1.0,1.0,2.327146674573323e-07
100.0,1.0,1.0,1.0,1.1869741174422247e-05
100.0,1.0,1.0,1.0,1.2552653633445406e-05
100.0,1.0,1.0,1.0,1.3316606644570328e-05
100.0,1.0,1.0,1.0,8.876218864819088e-07
100.0,1.0,1.0,1.0,7.728748181191969e-07
100.0,1.0,1.0,1.0,2.442858826768704e-05
100.0,1.0,1.0,1.0,2.3637872133676327e-05
100.0,1.0,1.0,1.0,1.4174981200677618e-05
100.0,1.0,1.0,1.0,7.5998731556135e-07
100.0,1.0,1.0,1.0,2.4321277869662304e-05
100.0,1.0,1.0,1.0,1.085142065126929e-06
100.0,1.0,1.0,1.0,4.77026448145792e-05
100.0,1.0,1.0,1.0,2.513380601361945e-05
100.0,1.0,1.0,1.0,7.75600902839136e-07
100.0,1.0,1.0,1.0,1.6384389885556422e-06
100.0,1.0,1.0,1.0,1.353320719535509e-05
100.0,1.0,1.0,1.0,1.0526756854641521e-06
100.0,1.0,1.0,1.0,7.969144706553071e-07
100.0,1.0,1.0,1.0,1.1218212256812214e-06
100.0,1.0,1.0,1.0,1.3049306049237602e-05
100.0,1.0,1.0,1.0,1.2470124694323635e-05
100.0,1.0,1.0,1.0,1.197036154582975e-05
100.0,1.0,1.0,1.0,2.4309135900402755e-05
100.0,1.0,1.0,1.0,9.245496908305977e-07
100.0,1.0,1.0,1.0,9.337172089016747e-07
100.0,1.0,1.0,1.0,9.270258528937005e-07
100.0,1.0,1.0,1.0,2.5723284837803396e-05
100.0,1.0,1.0,1.0,2.4230077500053497e-05
100.0,1.0,1.0,1.0,6.022405061132205e-08
100.0,1.0,1.0,1.0,2.507358224629088e-05
100.0,1.0,1.0,1.0,1.5950662025622552e-06
100.0,1.0,1.0,1.0,1.4073121509279063e-05
100.0,1.0,1.0,1.0,1.1964662072692371e-05
100.0,1.0,1.0,1.0,1.2615356009729848e-05
100.0,1.0,1.0,1.0,1.1458593464603974e-06
100.0,1.0,1.0,1.0,2.4359447024170642e-05
100.0,1.0,1.0,1.0,1.2784126672475962e-05
100.0,1.0,1.0,1.0,8.915854527960596e-07
100.0,1.0,1.0,1.0,1.174735005136747e-07
100.0,1.0,1.0,1.0,3.5331404423095345e-05
