epoch,time,lr,loss,acc,val_loss,val_acc
1,84.4307028750045,0.001,0.1778702335376386,93.60531002104581,0.056909285331328295,97.92746113989638
2,82.82852566699148,0.001,0.07508356167343957,97.57163671685284,0.0357545116612292,98.70466321243524
3,82.77052329199796,0.001,0.05132264597740966,98.25157843613404,0.01940108455447335,99.22279792746114
4,82.49420070800988,0.001,0.0330247045726052,98.86676380119799,0.10383807434917577,97.40932642487047
5,82.3165626659902,0.001,0.040674129921942345,98.8829528897523,0.03180574185644407,99.09326424870466
6,82.60403262500768,0.001,0.025944735760405065,99.14197830662134,0.032645542886339786,98.96373056994818
7,82.29716145800194,0.001,0.02384474819008323,99.30386919216448,0.020178605100547732,99.22279792746114
8,82.8958268330025,0.001,0.016339564807149144,99.48194916626194,0.02104111830100726,99.09326424870466
9,82.64487425000698,0.001,0.020413308750955796,99.15816739517565,0.03341967529834247,99.09326424870466
10,82.57880091700645,0.001,0.013210028806697232,99.5628946090335,0.023024770057620842,99.61139896373057
11,83.00084208299813,0.001,0.01271896061927526,99.62765096325077,0.026863036953199925,99.22279792746114
12,82.74109949999547,0.001,0.008864175876685757,99.70859640602234,0.0391620438346287,98.96373056994818
13,82.37593458400806,0.001,0.018184112767802463,99.3200582807188,0.022042184257963924,99.48186528497409
14,83.01422125000681,0.001,0.010384191170408544,99.70859640602234,0.021478818000378413,99.35233160621762
15,82.51046658400446,0.001,0.005601930476622048,99.83810911445686,0.022972613527227913,99.48186528497409
