epoch,time,lr,loss,acc,val_loss,val_acc
1,273.40939008300484,0.001,1.2451861625314435,39.436619718309856,1.2512755690460995,43.523316062176164
2,270.8528521249973,0.001,0.8449730619520398,55.30192650153796,0.6934716837393805,66.96891191709845
3,272.4213744169974,0.001,0.6367818434801575,71.05390966488586,1.3213598700385019,60.49222797927461
4,270.3062410840066,0.001,0.4709519252665938,81.07495548000648,0.8242765677407615,73.05699481865285
5,269.57544162499835,0.001,0.37352931478252416,86.02881657762669,0.3883611883369752,87.56476683937824
6,271.2614332499943,0.001,0.32490899948041685,88.63525983487129,0.3114691859236653,90.28497409326425
7,271.2493208329979,0.001,0.2541809650769758,91.20932491500729,0.2898568554245746,91.19170984455958
8,271.44966395899246,0.001,0.23457347107720988,91.3388376234418,0.2926735136793067,90.15544041450777
9,271.96907716699934,0.001,0.19946878039761617,92.9253683017646,0.32480115748440047,87.1761658031088
10,271.09728033399733,0.001,0.1972044588814319,93.11963736441638,0.2888725640932629,90.5440414507772
11,272.38801487500314,0.001,0.19727166879711672,92.82823377043873,0.2508074791783496,91.96891191709845
12,271.6671474589966,0.001,0.1587038688990065,94.85186983972802,0.16909350647827504,94.30051813471502
13,270.9477699160052,0.001,0.15946531417841894,94.46333171442448,0.2232850713201755,92.2279792746114
14,272.5493454160023,0.001,0.12434097978797413,95.74226971021531,0.130596680113071,95.46632124352331
15,271.8108097919903,0.001,0.1390904038686167,95.09470616804273,0.18826454152097355,93.9119170984456
16,270.2787640000024,0.001,0.1188085379073858,96.03367330419297,0.17316695825327091,95.72538860103627
17,272.99944695799786,0.001,0.11243148298350009,95.82321515298689,0.16203910096939364,94.04145077720207
18,273.4209731659939,0.001,0.09925182656560956,96.79456046624576,0.16271134298970352,94.43005181347151
19,270.82521491700027,0.001,0.08985676467466917,96.8431277319087,0.15254817905695867,95.85492227979275
