epoch,time,lr,loss,acc,val_loss,val_acc
1,75.65676995799913,0.001,0.04298095761421001,98.20686070686071,0.0017317005282116902,100.0
2,72.81277633299942,0.001,0.0028615430851232776,99.94802494802495,0.015240382891063135,99.37629924940715
3,72.71071395900071,0.001,0.011363004453903543,99.76611226611226,0.010323126058785435,99.37629931285326
4,72.76868795900009,0.001,0.0005926721351881796,100.0,0.0008498963913766536,100.0
5,72.8184086250003,0.001,0.008746206094340602,99.71413721413721,0.00030954105431250765,100.0
6,72.7634615829993,0.001,0.013359348057367352,99.55821205821206,0.013236820008489546,99.58419952075347
7,72.7309779999996,0.001,0.0011683888033997857,99.97401247401247,0.00010479603041633344,100.0
8,72.90604216700012,0.001,0.0006582009651763111,99.97401247401247,7.219866095580913e-05,100.0
9,73.13433945900033,0.001,0.0016345935343876985,99.92203742203742,0.0017834612863528163,100.0
10,72.91463925000062,0.001,0.00029512577809300504,100.0,0.0010576408161429456,100.0
11,72.98552995799946,0.001,3.951164403055946e-05,100.0,0.0009019101572635756,100.0
12,73.00315441699968,0.001,9.753659029360962e-05,100.0,0.0006331988811353936,100.0
13,73.03038141700017,0.001,0.0001837060375679061,100.0,0.0010310922139088498,100.0
14,73.18564949999927,0.001,0.0006285879113469599,99.97401247401247,0.008333517523413493,99.79209979209979
15,73.03730729100062,0.001,0.002077203077295198,99.92203742203742,0.0020992175840794836,99.79209979209979
16,73.09670824999921,0.001,0.009486990371658973,99.76611226611226,0.00046551430437194956,100.0
17,73.0595862500013,0.001,0.0067054002855846204,99.79209979209979,0.010957814845207617,99.58419958419958
18,73.12534137500188,0.001,0.0016262380383124037,99.8960498960499,8.190689778282513e-05,100.0
19,73.04329224999674,0.001,0.0037989406223222864,99.81808731808732,0.009950489419916152,99.58419952075347
20,73.19964400000026,0.001,0.0034109999369605513,99.8960498960499,0.0070292191665131684,99.58419958419958
21,73.18405504199836,0.001,0.0004004369993777905,100.0,0.0005045924443132717,100.0
22,73.04898341599983,0.001,0.007372713448568715,99.81808731808732,0.003965123221830014,99.79209979209979
23,73.10518816699914,0.001,0.002697538130443543,99.92203742203742,0.00019823773945292086,100.0
24,73.14891945899944,0.001,0.00027866148869441006,100.0,0.0026085683004525217,99.79209979209979
25,72.94844883300175,0.001,7.929474934350411e-05,100.0,0.0002178418870002031,100.0
26,73.11850525000045,0.001,0.00023442796600906183,100.0,0.00036350455476827457,100.0
27,73.14138729100159,0.001,5.6669554039287256e-05,100.0,0.00021020007095241242,100.0
28,73.11766075000196,0.001,2.9842388745736292e-05,100.0,6.673269339247585e-05,100.0
29,73.77666870900066,0.001,0.00018988631902639718,100.0,0.0011348719722538095,100.0
30,73.70855899999879,0.001,0.0002075593653635094,100.0,9.463734397008363e-05,100.0
31,73.80061516600108,0.001,9.560790378187018e-05,100.0,7.367256846573166e-05,100.0
32,73.83844725000017,0.001,1.71703754329337e-05,100.0,0.00011626196467932838,100.0
33,73.91578033400219,0.001,1.8948254804994303e-05,100.0,0.00012387252981437214,100.0
34,73.95836904200041,0.001,0.0006079902892379802,99.94802494802495,0.0004400828136136613,100.0
35,74.24428916599936,0.001,0.004801103882590431,99.8960498960499,0.014050429691260451,99.79209972865368
36,73.930341416999,0.001,0.006071711388865954,99.76611226611226,0.0004590467271589134,100.0
37,74.42553579099695,0.001,0.008093949713396338,99.84407484407484,0.00098062180859226,100.0
38,73.99641408299794,0.001,0.0030739869868168282,99.92203742203742,0.004060106587010772,99.79209979209979
39,74.05214429199987,0.001,0.0007045664032922557,99.97401247401247,0.007861229769489034,99.79209979209979
40,73.88207074999809,0.001,0.000750826637532212,99.97401247401247,0.0050209418173384765,99.58419958419958
