epoch,time,lr,loss,acc,val_loss,val_acc
1,59.22585912499926,0.001,0.4996357956695953,81.18503118503118,0.42173449382216915,88.14968789590371
2,57.72015762500814,0.001,0.26880969413848527,91.29417879417879,0.3297808084815059,86.90228698159454
3,57.64524433398037,0.001,0.23053169430169643,91.502079002079,0.7728315505069407,69.23076957972283
4,57.32591833299375,0.001,0.18215900752499792,93.32120582120582,0.4620170761790444,83.16008330283691
5,57.41175037500216,0.001,0.169399303792668,93.94490644490645,1.0222931205606758,62.37006259212375
6,58.03538866699091,0.001,0.1258912183762588,95.76403326403326,0.6020514105065201,76.29937631523782
7,57.86920470898622,0.001,0.10426005335396887,96.8035343035343,1.137501308179447,71.93347182244125
8,57.931303042016225,0.001,0.13616657162592466,95.37422037422037,1.8846228276369725,53.84615381443079
9,57.87746950000292,0.001,0.10190911131781252,96.88149688149689,0.441387427324069,85.23908538183899
10,58.143538834003266,0.001,0.0925705213246871,97.03742203742203,4.468875945481837,50.72765069592767
11,58.33983966699452,0.001,0.1081387818386302,96.36174636174636,0.4655629339436236,90.436590182806
12,58.31187404200318,0.001,0.08152313701897519,97.34927234927235,0.33839555168350127,86.69438683714044
13,58.93897816698882,0.001,0.09347082121518446,96.5956340956341,0.5754102573821054,80.04158012088767
14,58.29605295899091,0.001,0.0717661189081887,97.34927234927235,0.09192460106217192,97.08939696250488
15,59.57336995899095,0.001,0.07036557244504811,97.47920997920998,0.11566571395635108,95.4261952993032
16,59.37221920900629,0.001,0.07011148128310013,97.86902286902287,0.06914816158601003,98.12889800200591
17,59.01035037499969,0.001,0.053635650904938235,98.12889812889813,0.056389494444748965,98.12889800200591
18,59.504711084009614,0.001,0.054029189375482824,98.25883575883576,0.4142656115633039,85.03118523738489
19,60.021347500005504,0.001,0.05341506356725822,97.94698544698545,0.10952958219884092,96.25779613090404
20,59.28438583400566,0.001,0.07981568184756749,97.1933471933472,0.16747324531142777,95.21829496451079
21,59.12494750000769,0.001,0.055512090664736446,98.23284823284823,0.5991283072751178,79.41787943374095
22,60.53618200001074,0.001,0.05415779984945319,98.28482328482329,0.2046024881132923,91.89189163810745
23,59.09234516698052,0.001,0.03707545518046419,98.64864864864865,0.7754134513484218,77.5467777529774
24,59.74361079200753,0.001,0.049006480938540056,98.36278586278586,0.21354416465065335,92.30769264078438
25,58.4795049999957,0.001,0.054046689772788675,97.97297297297297,0.23679205155670024,91.89189222498396
26,58.89847625000402,0.001,0.05851820227448013,98.07692307692308,3.503152566243606,53.2224534445146
27,59.36301537498366,0.001,0.04819651056476046,98.38877338877339,9.753081589379578,50.31185028012726
28,59.00706808301038,0.001,0.052768492623447225,98.07692307692308,1.9632939866079857,59.04365926572042
29,59.62269454100169,0.001,0.051942559714252885,97.92099792099792,0.7232718063739134,78.3783783307938
30,60.339393500005826,0.001,0.043373827519971805,98.44074844074844,0.930329006575745,79.62577964164116
31,59.950869874999626,0.001,0.04989306434730974,98.46673596673597,0.9423164501011744,72.76507271748818
32,59.020171499985736,0.001,0.04482996074062638,98.44074844074844,0.08438395369573343,97.29729723385118
33,58.918312000023434,0.001,0.043405057107940175,98.4927234927235,0.4501120375000761,89.60498981118945
34,58.77300837499206,0.001,0.08044494654312381,97.58316008316008,5.038593948507011,53.22245331762238
35,58.862953583011404,0.001,0.037764237999040905,98.62266112266113,0.8067100399992818,80.8731808255963
36,59.44658620801056,0.001,0.054650956549654614,98.41476091476092,0.0606707332040069,98.33679827335223
37,58.69807874999242,0.001,0.04474067519972655,98.46673596673597,0.2647940036288914,91.89189163810745
38,58.639983500004746,0.001,0.045424077663717796,98.23284823284823,7.575998630444374,50.10395013567316
39,58.84303033299511,0.001,0.04923872988169583,98.38877338877339,0.09722176107448252,96.88149662771245
40,58.86333395799738,0.001,0.03996677402205564,98.5966735966736,3.6512990607541216,53.43035365241481
