accuracy,f1_score,sensitivity,specificity,loss
100.0,1.0,1.0,1.0,4.852538249346783e-07
100.0,1.0,1.0,1.0,8.360780707502737e-07
100.0,1.0,1.0,1.0,2.6388285869349755e-06
99.79209979209979,0.9979166395959753,0.9978260869565218,0.998015873015873,0.0074371887507025045
99.79209979209979,0.9979208541355984,0.997907949790795,0.9979423868312758,0.00743702766488631
100.0,1.0,1.0,1.0,3.186138277733013e-06
99.79209979209979,0.9978858722644901,0.9976190476190476,0.9981617647058824,0.007436988011105117
99.79209979209979,0.9979173973095025,0.9978354978354979,0.99800796812749,0.007440228346610133
99.79209979209979,0.9979065202536548,0.997737556561086,0.9980842911877394,0.007437662748151699
99.58419958419958,0.995832466902336,0.9956521739130435,0.9960474308300395,0.014874780987477467
100.0,1.0,1.0,1.0,2.1809502927813308e-07
100.0,1.0,1.0,1.0,1.3889304028621183e-06
99.58419952075347,0.9957439654562186,0.9951219512195122,0.9964028776978417,0.01487573589518267
100.0,1.0,1.0,1.0,2.6380383845920535e-06
99.79209972865368,0.9979192351783358,0.9978632478632479,0.997983870967742,0.00743732407700083
99.79209979209979,0.9979166395959753,0.9978260869565218,0.998015873015873,0.007439567506519492
99.37629937629937,0.9937628859295375,0.9937759336099585,0.9938271604938271,0.022312163017527364
99.16839916839916,0.9915894387130617,0.9907834101382489,0.9925373134328358,0.029747827369009296
100.0,1.0,1.0,1.0,2.78718130624623e-06
99.79209979209979,0.9979128789686758,0.997787610619469,0.998046875,0.007439657351745988
99.58419952075347,0.9958340550840118,0.9956709956709957,0.996031746031746,0.014876453229001859
100.0,1.0,1.0,1.0,1.9417863401289453e-06
99.79209979209979,0.9979197031360151,0.9979757085020242,0.9978723404255319,0.0074379630635815885
99.58419958419958,0.9958398201003287,0.9957627118644068,0.9959514170040487,0.014873992868109646
100.0,1.0,1.0,1.0,1.4845322603547238e-07
100.0,1.0,1.0,1.0,2.1637391173470693e-06
100.0,1.0,1.0,1.0,3.5013710861772658e-06
100.0,1.0,1.0,1.0,1.7154732039918917e-06
100.0,1.0,1.0,1.0,2.166081251329323e-07
100.0,1.0,1.0,1.0,1.6730933174700858e-06
99.79209972865368,0.9979018081092281,0.9977064220183487,0.9981060606060606,0.00743943865464604
99.79209979209979,0.99791055798093,0.9977678571428572,0.998062015503876,0.007437837913823188
99.79209979209979,0.9979117553845018,0.9977777777777778,0.9980544747081712,0.007439707981941453
100.0,1.0,1.0,1.0,1.578710423114423e-07
100.0,1.0,1.0,1.0,2.256677223747946e-06
99.58419958419958,0.9958307329588794,0.9956331877729258,0.9960629921259843,0.014875484104043924
99.58419952075347,0.9957784799017027,0.9952830188679245,0.996309963099631,0.014875405307947709
99.79209979209979,0.9979149056072133,0.9978070175438596,0.9980314960629921,0.007438657810239966
100.0,1.0,1.0,1.0,2.6949397194958095e-06
99.58419958419958,0.9958223318510284,0.9955555555555555,0.9961240310077519,0.014875380461818374
100.0,1.0,1.0,1.0,1.5923529191749595e-06
99.16839916839916,0.9916038262812457,0.9908675799086758,0.9924812030075187,0.02974940443186136
99.58419958419958,0.9958367954576928,0.9957081545064378,0.996,0.014876410159796986
100.0,1.0,1.0,1.0,1.0531274923646605e-06
100.0,1.0,1.0,1.0,1.366377412678483e-06
99.79209979209979,0.9978964125305588,0.9976744186046511,0.99812734082397,0.007439949115364899
100.0,1.0,1.0,1.0,2.7019795067234425e-06
100.0,1.0,1.0,1.0,9.66559178229619e-08
100.0,1.0,1.0,1.0,3.033816979712397e-06
99.79209979209979,0.9979092865059874,0.9977578475336323,0.9980694980694981,0.007441474994443203
99.79209979209979,0.9979166395959753,0.9978260869565218,0.998015873015873,0.007437145379276359
99.79209979209979,0.9979128789686758,0.997787610619469,0.998046875,0.007437749242420422
99.58419958419958,0.9958084980306041,0.9954545454545455,0.9961977186311788,0.014874904729348692
100.0,1.0,1.0,1.0,7.194444203535165e-07
100.0,1.0,1.0,1.0,3.81155297651964e-06
100.0,1.0,1.0,1.0,1.7444697327458749e-06
99.58419958419958,0.995828852891186,0.9956140350877193,0.996078431372549,0.014875616275534784
99.58419952075347,0.9958418340883157,0.9958847736625515,0.9958333333333333,0.014875994489606489
100.0,1.0,1.0,1.0,1.8750252511161594e-06
99.58419958419958,0.9958354978354979,0.9956896551724138,0.9960159362549801,0.014876604589876488
100.0,1.0,1.0,1.0,1.0764708467834315e-06
99.79209979209979,0.9979128789686758,0.997787610619469,0.998046875,0.00743878494253949
99.79209979209979,0.9979139289694983,0.9977973568281938,0.9980392156862745,0.007438142295016475
99.79209972865368,0.9978903231182866,0.9976415094339622,0.9981481481481482,0.00743786437041726
100.0,1.0,1.0,1.0,3.2114178080597667e-06
99.58419958419958,0.9958307329588794,0.9956331877729258,0.9960629921259843,0.014875295311762316
99.79209979209979,0.9979000860047935,0.9976958525345623,0.9981132075471698,0.007440069261544192
100.0,1.0,1.0,1.0,8.784577195874098e-07
100.0,1.0,1.0,1.0,2.724680045626451e-06
99.37629937629937,0.9937195607609646,0.9932432432432432,0.9942748091603053,0.022311766894788428
99.79209979209979,0.9979204226600431,0.9979591836734694,0.9978902953586498,0.007439611229579064
99.79209979209979,0.9978835280399534,0.9976076555023923,0.9981684981684982,0.007437890702846889
99.58419958419958,0.995841115030781,0.9957983193277311,0.9959183673469387,0.014876667963686172
100.0,1.0,1.0,1.0,3.4545367427791066e-06
99.79209979209979,0.9979117553845018,0.9977777777777778,0.9980544747081712,0.0074378411825405805
100.0,1.0,1.0,1.0,2.597594263163397e-06
